ENSP00000000412	ENSG00000003056	M6PR	ENSDARP00000018076	ENSDARG00000018432	m6pr
ENSP00000394954	ENSG00000169181	GSG1L	ENSDARP00000054407	ENSDARG00000037390	gsg1l
ENSP00000395083	ENSG00000164144	ARFIP1	ENSDARP00000155609	ENSDARG00000116473	arfip1
ENSP00000395122	ENSG00000178234	GALNT11	ENSDARP00000087595	ENSDARG00000063636	galnt11
ENSP00000395204	ENSG00000167904	TMEM68	ENSDARP00000110455	ENSDARG00000086737	tmem68
ENSP00000395220	ENSG00000147041	SYTL5	ENSDARP00000083921	ENSDARG00000062135	sytl5
ENSP00000395249	ENSG00000144567	RETREG2	ENSDARP00000086709	ENSDARG00000063270	retreg2
ENSP00000395281	ENSG00000160345	C9orf116	ENSDARP00000076347	ENSDARG00000058940	si:ch211-248e11.2
ENSP00000395340	ENSG00000222011	FAM185A	ENSDARP00000012414	ENSDARG00000019142	fam185a
ENSP00000395389	ENSG00000171517	LPAR3	ENSDARP00000130604	ENSDARG00000101814	lpar3
ENSP00000395473	ENSG00000104774	MAN2B1	ENSDARP00000014955	ENSDARG00000001897	man2b1
ENSP00000395487	ENSG00000164164	OTUD4	ENSDARP00000098303	ENSDARG00000077810	otud4
ENSP00000395535	ENSG00000169057	MECP2	ENSDARP00000109399	ENSDARG00000014218	mecp2
ENSP00000395574	ENSG00000011007	ELOA	ENSDARP00000103646	ENSDARG00000079957	eloal
ENSP00000395590	ENSG00000068079	IFI35	ENSDARP00000133347	ENSDARG00000075643	ifi35
ENSP00000395605	ENSG00000103202	NME4	ENSDARP00000116332	ENSDARG00000088390	nme4
ENSP00000395772	ENSG00000163938	GNL3	ENSDARP00000109517	ENSDARG00000006219	gnl3
ENSP00000395835	ENSG00000180347	ITPRID1	ENSDARP00000116104	ENSDARG00000086805	itprid1
ENSP00000395849	ENSG00000163491	NEK10	ENSDARP00000128704	ENSDARG00000025335	nek10
ENSP00000396123	ENSG00000139160	ETFBKMT	ENSDARP00000103806	ENSDARG00000079080	etfbkmt
ENSP00000396127	ENSG00000132341	RAN	ENSDARP00000032532	ENSDARG00000057026	ran
ENSP00000396198	ENSG00000129682	FGF13	ENSDARP00000144959	ENSDARG00000035056	fgf13a
ENSP00000396225	ENSG00000081791	DELE1	ENSDARP00000132098	ENSDARG00000104789	dele1
ENSP00000396301	ENSG00000113141	IK	ENSDARP00000009186	ENSDARG00000004161	ik
ENSP00000396308	ENSG00000228716	DHFR	ENSDARP00000014124	ENSDARG00000004251	dhfr
ENSP00000396441	ENSG00000160818	GPATCH4	ENSDARP00000124189	ENSDARG00000091931	gpatch4
ENSP00000396593	ENSG00000232125	DYTN	ENSDARP00000095514	ENSDARG00000071025	dytn
ENSP00000396673	ENSG00000108592	FTSJ3	ENSDARP00000136961	ENSDARG00000104938	ftsj3
ENSP00000396918	ENSG00000106608	URGCP	ENSDARP00000142957	ENSDARG00000078731	si:dkey-85k7.12
ENSP00000396937	ENSG00000185627	PSMD13	ENSDARP00000095348	ENSDARG00000016239	psmd13
ENSP00000396976	ENSG00000140320	BAHD1	ENSDARP00000128417	ENSDARG00000086789	bahd1
ENSP00000397133	ENSG00000115592	PRKAG3	ENSDARP00000114828	ENSDARG00000000369	prkag3b
ENSP00000397157	ENSG00000112378	PERP	ENSDARP00000118851	ENSDARG00000063572	perp
ENSP00000397219	ENSG00000141499	WRAP53	ENSDARP00000105980	ENSDARG00000086150	wrap53
ENSP00000397259	ENSG00000087152	ATXN7L3	ENSDARP00000094893	ENSDARG00000029331	atxn7l3
ENSP00000397269	ENSG00000035141	FAM136A	ENSDARP00000133287	ENSDARG00000098401	fam136a
ENSP00000397297	ENSG00000185652	NTF3	ENSDARP00000076483	ENSDARG00000059043	ntf3
ENSP00000397313	ENSG00000015413	DPEP1	ENSDARP00000089201	ENSDARG00000068181	dpep1
ENSP00000397435	ENSG00000102804	TSC22D1	ENSDARP00000116421	ENSDARG00000038306	tsc22d1
ENSP00000397441	ENSG00000133103	COG6	ENSDARP00000137474	ENSDARG00000103149	cog6
ENSP00000397453	ENSG00000104343	UBE2W	ENSDARP00000108136	ENSDARG00000045360	flj11011l
ENSP00000397459	ENSG00000112679	DUSP22	ENSDARP00000058288	ENSDARG00000039850	dusp22b
ENSP00000397555	ENSG00000104679	R3HCC1	ENSDARP00000137545	ENSDARG00000099593	r3hcc1
ENSP00000397598	ENSG00000174611	KY	ENSDARP00000146674	ENSDARG00000074036	ky
ENSP00000397673	ENSG00000137760	ALKBH8	ENSDARP00000079150	ENSDARG00000060256	alkbh8
ENSP00000397679	ENSG00000111405	ENDOU	ENSDARP00000064903	ENSDARG00000044204	endou
ENSP00000397818	ENSG00000125454	SLC25A19	ENSDARP00000130698	ENSDARG00000100385	slc25a19
ENSP00000397863	ENSG00000157368	IL34	ENSDARP00000107243	ENSDARG00000091003	il34
ENSP00000397881	ENSG00000232838	PET117	ENSDARP00000146565	ENSDARG00000114384	BX548076.2
ENSP00000397927	ENSG00000100227	POLDIP3	ENSDARP00000134590	ENSDARG00000099375	poldip3
ENSP00000397947	ENSG00000106086	PLEKHA8	ENSDARP00000059622	ENSDARG00000040698	plekha8
ENSP00000398064	ENSG00000181061	HIGD1A	ENSDARP00000033361	ENSDARG00000022303	higd1a
ENSP00000398089	ENSG00000102984	ZNF821	ENSDARP00000144440	ENSDARG00000106989	ZNF821
ENSP00000398124	ENSG00000133740	E2F5	ENSDARP00000056678	ENSDARG00000038812	e2f5
ENSP00000398269	ENSG00000179820	MYADM	ENSDARP00000119007	ENSDARG00000086815	MYADM
ENSP00000398321	ENSG00000213337	ANKRD39	ENSDARP00000116717	ENSDARG00000041350	ankrd39
ENSP00000398350	ENSG00000175573	C11orf68	ENSDARP00000126646	ENSDARG00000019406	C7H11orf68
ENSP00000398401	ENSG00000234545	FAM133B	ENSDARP00000083980	ENSDARG00000013863	fam133b
ENSP00000398410	ENSG00000155666	KDM8	ENSDARP00000134388	ENSDARG00000102512	kdm8
ENSP00000398470	ENSG00000156970	BUB1B	ENSDARP00000144935	ENSDARG00000074927	bub1bb
ENSP00000398502	ENSG00000118894	EEF2KMT	ENSDARP00000116881	ENSDARG00000054950	eef2kmt
ENSP00000398536	ENSG00000114686	MRPL3	ENSDARP00000141505	ENSDARG00000103318	mrpl3
ENSP00000398632	ENSG00000026508	CD44	ENSDARP00000127635	ENSDARG00000089892	cd44b
ENSP00000398665	ENSG00000170011	MYRIP	ENSDARP00000149872	ENSDARG00000038814	myrip
ENSP00000398679	ENSG00000096080	MRPS18A	ENSDARP00000037794	ENSDARG00000024465	mrps18a
ENSP00000398688	ENSG00000145198	VWA5B2	ENSDARP00000135268	ENSDARG00000075886	vwa5b2
ENSP00000398708	ENSG00000176894	PXMP2	ENSDARP00000026766	ENSDARG00000003144	pxmp2
ENSP00000398722	ENSG00000177830	CHID1	ENSDARP00000129029	ENSDARG00000069673	chid1
ENSP00000398736	ENSG00000142871	CCN1	ENSDARP00000036965	ENSDARG00000023062	ccn1
ENSP00000398789	ENSG00000071189	SNX13	ENSDARP00000021266	ENSDARG00000013828	snx13
ENSP00000398798	ENSG00000115568	ZNF142	ENSDARP00000116080	ENSDARG00000061373	znf142
ENSP00000399124	ENSG00000125991	ERGIC3	ENSDARP00000055510	ENSDARG00000038074	ergic3
ENSP00000399229	ENSG00000162576	MXRA8	ENSDARP00000084146	ENSDARG00000062222	mxra8a
ENSP00000399370	ENSG00000142700	DMRTA2	ENSDARP00000057589	ENSDARG00000039412	dmrta2
ENSP00000399421	ENSG00000135218	CD36	ENSDARP00000050752	ENSDARG00000032639	cd36
ENSP00000399457	ENSG00000244038	DDOST	ENSDARP00000105892	ENSDARG00000037318	ddost
ENSP00000399585	ENSG00000124532	MRS2	ENSDARP00000085810	ENSDARG00000062872	mrs2
ENSP00000399679	ENSG00000116690	PRG4	ENSDARP00000112635	ENSDARG00000028163	prg4b
ENSP00000399709	ENSG00000167995	BEST1	ENSDARP00000150046	ENSDARG00000078331	best1
ENSP00000399718	ENSG00000151332	MBIP	ENSDARP00000013291	ENSDARG00000019364	mbip
ENSP00000399751	ENSG00000186001	LRCH3	ENSDARP00000144520	ENSDARG00000100679	lrch3
ENSP00000399862	ENSG00000182973	CNOT10	ENSDARP00000106673	ENSDARG00000058528	cnot10
ENSP00000399863	ENSG00000022976	ZNF839	ENSDARP00000127918	ENSDARG00000076988	znf839
ENSP00000399902	ENSG00000106367	AP1S1	ENSDARP00000142911	ENSDARG00000056803	ap1s1
ENSP00000400057	ENSG00000162174	ASRGL1	ENSDARP00000033788	ENSDARG00000021681	asrgl1
ENSP00000400142	ENSG00000182944	EWSR1	ENSDARP00000002269	ENSDARG00000020465	ewsr1b
ENSP00000400157	ENSG00000237172	B3GNT9	ENSDARP00000113598	ENSDARG00000041616	b3gnt9
ENSP00000400223	ENSG00000179431	FJX1	ENSDARP00000154085	ENSDARG00000035873	fjx1
ENSP00000400224	ENSG00000166220	TBATA	ENSDARP00000088485	ENSDARG00000067831	tbata
ENSP00000400341	ENSG00000125798	FOXA2	ENSDARP00000007827	ENSDARG00000003411	foxa2
ENSP00000400451	ENSG00000197093	GAL3ST4	ENSDARP00000097712	ENSDARG00000079712	gal3st4
ENSP00000400454	ENSG00000114395	CYB561D2	ENSDARP00000064771	ENSDARG00000044114	cyb561d2
ENSP00000400471	ENSG00000134291	TMEM106C	ENSDARP00000131438	ENSDARG00000098105	tmem106c
ENSP00000400482	ENSG00000140931	CMTM3	ENSDARP00000016900	ENSDARG00000008811	cmtm3
ENSP00000400513	ENSG00000138399	FASTKD1	ENSDARP00000118274	ENSDARG00000056128	fastkd1
ENSP00000400591	ENSG00000182004	SNRPE	ENSDARP00000050295	ENSDARG00000033175	snrpe
ENSP00000400669	ENSG00000166578	IQCD	ENSDARP00000051530	ENSDARG00000035551	iqcd
ENSP00000400759	ENSG00000106603	COA1	ENSDARP00000121413	ENSDARG00000076360	rpl37
ENSP00000400803	ENSG00000214954	LRRC69	ENSDARP00000110106	ENSDARG00000088316	si:ch73-302o18.2
ENSP00000400815	ENSG00000103544	VPS35L	ENSDARP00000052536	ENSDARG00000020041	vps35l
ENSP00000400821	ENSG00000138823	MTTP	ENSDARP00000024667	ENSDARG00000008637	mttp
ENSP00000400882	ENSG00000256812	CAPNS2	ENSDARP00000020352	ENSDARG00000035329	capns1a
ENSP00000400892	ENSG00000135426	TESPA1	ENSDARP00000129230	ENSDARG00000053311	tespa1
ENSP00000400921	ENSG00000139737	SLAIN1	ENSDARP00000116385	ENSDARG00000019185	slain1a
ENSP00000400932	ENSG00000176273	SLC35G1	ENSDARP00000126807	ENSDARG00000063268	SLC35G1
ENSP00000401010	ENSG00000077549	CAPZB	ENSDARP00000140899	ENSDARG00000100252	capzb
ENSP00000401018	ENSG00000181938	GINS3	ENSDARP00000056722	ENSDARG00000038847	gins3
ENSP00000401023	ENSG00000165338	HECTD2	ENSDARP00000081418	ENSDARG00000061194	hectd2
ENSP00000401053	ENSG00000182247	UBE2E2	ENSDARP00000049374	ENSDARG00000034670	ube2e2
ENSP00000401089	ENSG00000235711	ANKRD34C	ENSDARP00000120378	ENSDARG00000093286	CABZ01039782.1
ENSP00000401115	ENSG00000008324	SS18L2	ENSDARP00000141103	ENSDARG00000101085	ss18l2
ENSP00000401145	ENSG00000148935	GAS2	ENSDARP00000038511	ENSDARG00000001259	gas2a
ENSP00000401177	ENSG00000198000	NOL8	ENSDARP00000102804	ENSDARG00000044143	nol8
ENSP00000401191	ENSG00000071462	BUD23	ENSDARP00000087506	ENSDARG00000063596	bud23
ENSP00000401197	ENSG00000172046	USP19	ENSDARP00000116060	ENSDARG00000004132	usp19
ENSP00000401237	ENSG00000122390	NAA60	ENSDARP00000081428	ENSDARG00000061185	nat15
ENSP00000401277	ENSG00000105879	CBLL1	ENSDARP00000067352	ENSDARG00000045824	zgc:101783
ENSP00000401303	ENSG00000160691	SHC1	ENSDARP00000089171	ENSDARG00000075437	shc1
ENSP00000401305	ENSG00000163449	TMEM169	ENSDARP00000099991	ENSDARG00000078762	tmem169b
ENSP00000401307	ENSG00000187902	SHISA7	ENSDARP00000114015	ENSDARG00000063144	shisa7b
ENSP00000401475	ENSG00000136243	NUP42	ENSDARP00000050124	ENSDARG00000029043	nup42
ENSP00000401477	ENSG00000186952	TMEM232	ENSDARP00000088180	ENSDARG00000067646	tmem232
ENSP00000401511	ENSG00000041880	PARP3	ENSDARP00000026625	ENSDARG00000003961	parp3
ENSP00000401513	ENSG00000242866	STRC	ENSDARP00000142292	ENSDARG00000105391	strc
ENSP00000401564	ENSG00000099901	RANBP1	ENSDARP00000025538	ENSDARG00000014817	ranbp1
ENSP00000401633	ENSG00000041515	MYO16	ENSDARP00000114588	ENSDARG00000078582	myo16
ENSP00000401639	ENSG00000146733	PSPH	ENSDARP00000058992	ENSDARG00000040314	psph
ENSP00000401749	ENSG00000149380	P4HA3	ENSDARP00000141707	ENSDARG00000103692	p4ha3
ENSP00000401764	ENSG00000125931	CITED1	ENSDARP00000102688	ENSDARG00000077769	cited1
ENSP00000401831	ENSG00000167107	ACSF2	ENSDARP00000081474	ENSDARG00000061201	acsf2
ENSP00000401834	ENSG00000119013	NDUFB3	ENSDARP00000155189	ENSDARG00000075709	ndufb3
ENSP00000401853	ENSG00000068001	HYAL2	ENSDARP00000078315	ENSDARG00000059931	hyal2a
ENSP00000401980	ENSG00000088888	MAVS	ENSDARP00000112479	ENSDARG00000069733	mavs
ENSP00000402038	ENSG00000135297	MTO1	ENSDARP00000072515	ENSDARG00000055679	mto1
ENSP00000402092	ENSG00000164483	SAMD3	ENSDARP00000126053	ENSDARG00000077572	si:ch211-193k19.2
ENSP00000402140	ENSG00000163072	NOSTRIN	ENSDARP00000098854	ENSDARG00000077866	nostrin
ENSP00000402338	ENSG00000197498	RPF2	ENSDARP00000064541	ENSDARG00000043960	rpf2
ENSP00000402505	ENSG00000160111	CPAMD8	ENSDARP00000123096	ENSDARG00000056530	cpamd8
ENSP00000402527	ENSG00000112701	SENP6	ENSDARP00000135570	ENSDARG00000102923	senp6a
ENSP00000402581	ENSG00000179152	TCAIM	ENSDARP00000155974	ENSDARG00000079881	tcaim
ENSP00000402653	ENSG00000123154	WDR83	ENSDARP00000151428	ENSDARG00000115089	wdr83
ENSP00000402674	ENSG00000237452	MEIOSIN	ENSDARP00000112686	ENSDARG00000094059	si:ch211-191j22.7
ENSP00000402756	ENSG00000184162	NR2C2AP	ENSDARP00000115972	ENSDARG00000056162	nr2c2ap
ENSP00000402758	ENSG00000185664	PMEL	ENSDARP00000046267	ENSDARG00000033760	pmelb
ENSP00000402935	ENSG00000131374	TBC1D5	ENSDARP00000122022	ENSDARG00000036212	tbc1d5
ENSP00000403039	ENSG00000127483	HP1BP3	ENSDARP00000142470	ENSDARG00000044669	hp1bp3
ENSP00000403130	ENSG00000224982	TMEM233	ENSDARP00000145423	ENSDARG00000116896	TMEM233
ENSP00000403208	ENSG00000212916	MAP10	ENSDARP00000132851	ENSDARG00000100261	si:ch1073-266p11.2
ENSP00000403214	ENSG00000198252	STYX	ENSDARP00000028338	ENSDARG00000057699	styx
ENSP00000403256	ENSG00000144579	CTDSP1	ENSDARP00000090999	ENSDARG00000040674	ctdsp1
ENSP00000403293	ENSG00000156509	FBXO43	ENSDARP00000130052	ENSDARG00000104186	fbxo43
ENSP00000403310	ENSG00000184209	SNRNP35	ENSDARP00000135151	ENSDARG00000099913	snrnp35
ENSP00000403343	ENSG00000127837	AAMP	ENSDARP00000128573	ENSDARG00000045019	aamp
ENSP00000403396	ENSG00000122591	FAM126A	ENSDARP00000036397	ENSDARG00000026762	fam126a
ENSP00000403400	ENSG00000260916	CCPG1	ENSDARP00000130348	ENSDARG00000102110	CABZ01080375.1
ENSP00000403429	ENSG00000154710	RABGEF1	ENSDARP00000112905	ENSDARG00000014430	rabgef1
ENSP00000403476	ENSG00000214193	SH3D21	ENSDARP00000135563	ENSDARG00000099448	sh3d21
ENSP00000403524	ENSG00000089234	BRAP	ENSDARP00000103873	ENSDARG00000008560	brap
ENSP00000403535	ENSG00000040608	RTN4R	ENSDARP00000035812	ENSDARG00000090035	rtn4r
ENSP00000403645	ENSG00000183597	TANGO2	ENSDARP00000153743	ENSDARG00000056550	tango2
ENSP00000403663	ENSG00000221838	AP4M1	ENSDARP00000073893	ENSDARG00000056871	ap4m1
ENSP00000403664	ENSG00000143774	GUK1	ENSDARP00000146525	ENSDARG00000030340	guk1a
ENSP00000403683	ENSG00000173559	NABP1	ENSDARP00000146860	ENSDARG00000115485	nabp1a
ENSP00000403705	ENSG00000120709	FAM53C	ENSDARP00000066362	ENSDARG00000045127	FAM53C
ENSP00000403888	ENSG00000162946	DISC1	ENSDARP00000124789	ENSDARG00000021895	disc1
ENSP00000403910	ENSG00000105341	DMAC2	ENSDARP00000126938	ENSDARG00000096597	si:ch1073-228b5.2
ENSP00000403980	ENSG00000234469	CLDN34	ENSDARP00000104954	ENSDARG00000087805	FP236735.1
ENSP00000403982	ENSG00000003147	ICA1	ENSDARP00000062506	ENSDARG00000042608	ica1
ENSP00000403987	ENSG00000169609	C15orf40	ENSDARP00000128166	ENSDARG00000097310	zgc:193812
ENSP00000404042	ENSG00000158604	TMED4	ENSDARP00000119402	ENSDARG00000024954	tmed4
ENSP00000404131	ENSG00000163235	TGFA	ENSDARP00000070540	ENSDARG00000053939	tgfa
ENSP00000404190	ENSG00000161800	RACGAP1	ENSDARP00000020703	ENSDARG00000015460	racgap1
ENSP00000404232	ENSG00000183690	EFHC2	ENSDARP00000010992	ENSDARG00000004204	efhc2
ENSP00000404251	ENSG00000144560	VGLL4	ENSDARP00000142145	ENSDARG00000103730	vgll4b
ENSP00000404288	ENSG00000090512	FETUB	ENSDARP00000070561	ENSDARG00000053973	fetub
ENSP00000404296	ENSG00000052126	PLEKHA5	ENSDARP00000099969	ENSDARG00000045870	plekha5
ENSP00000404375	ENSG00000241343	RPL36A	ENSDARP00000075363	ENSDARG00000058105	rpl36a
ENSP00000404381	ENSG00000164031	DNAJB14	ENSDARP00000131904	ENSDARG00000069996	dnajb14
ENSP00000404384	ENSG00000144455	SUMF1	ENSDARP00000065090	ENSDARG00000044203	sumf1
ENSP00000404464	ENSG00000183287	CCBE1	ENSDARP00000106577	ENSDARG00000086158	ccbe1
ENSP00000404676	ENSG00000164219	PGGT1B	ENSDARP00000136678	ENSDARG00000103464	pggt1b
ENSP00000404843	ENSG00000114735	HEMK1	ENSDARP00000102499	ENSDARG00000078894	hemk1
ENSP00000404923	ENSG00000205356	TECPR1	ENSDARP00000129141	ENSDARG00000074086	tecpr1b
ENSP00000405060	ENSG00000167632	TRAPPC9	ENSDARP00000130471	ENSDARG00000099118	TRAPPC9
ENSP00000405068	ENSG00000087269	NOP14	ENSDARP00000140126	ENSDARG00000098859	nop14
ENSP00000405083	ENSG00000143387	CTSK	ENSDARP00000007535	ENSDARG00000040251	ctsk
ENSP00000405424	ENSG00000164830	OXR1	ENSDARP00000125967	ENSDARG00000063310	oxr1b
ENSP00000405577	ENSG00000166250	CLMP	ENSDARP00000147525	ENSDARG00000116937	BX927333.1
ENSP00000405635	ENSG00000205423	CNEP1R1	ENSDARP00000052350	ENSDARG00000036064	cnep1r1
ENSP00000405674	ENSG00000225921	NOL7	ENSDARP00000097767	ENSDARG00000075795	nol7
ENSP00000405726	ENSG00000093009	CDC45	ENSDARP00000064200	ENSDARG00000043720	cdc45
ENSP00000405854	ENSG00000211448	DIO2	ENSDARP00000120358	ENSDARG00000094857	dio2
ENSP00000405926	ENSG00000134970	TMED7	ENSDARP00000067665	ENSDARG00000046022	tmed7
ENSP00000405965	ENSG00000188612	SUMO2	ENSDARP00000137571	ENSDARG00000102741	sumo2b
ENSP00000406026	ENSG00000189410	SH2D5	ENSDARP00000116139	ENSDARG00000014324	sh2d5
ENSP00000406052	ENSG00000162782	TDRD5	ENSDARP00000151602	ENSDARG00000071450	tdrd5
ENSP00000406061	ENSG00000133104	SPART	ENSDARP00000140231	ENSDARG00000103457	spartb
ENSP00000406164	ENSG00000205835	GMNC	ENSDARP00000128017	ENSDARG00000068719	gmnc
ENSP00000406197	ENSG00000170915	PAQR8	ENSDARP00000112552	ENSDARG00000034907	paqr7b
ENSP00000406203	ENSG00000171552	BCL2L1	ENSDARP00000027919	ENSDARG00000008434	bcl2l1
ENSP00000406209	ENSG00000063245	EPN1	ENSDARP00000138794	ENSDARG00000010411	epn1
ENSP00000406238	ENSG00000154743	TSEN2	ENSDARP00000095278	ENSDARG00000091851	tsen2
ENSP00000406286	ENSG00000160685	ZBTB7B	ENSDARP00000031455	ENSDARG00000021891	zbtb7b
ENSP00000406424	ENSG00000115042	FAHD2A	ENSDARP00000141900	ENSDARG00000103759	fahd2a
ENSP00000406448	ENSG00000196305	IARS1	ENSDARP00000009149	ENSDARG00000007955	iars1
ENSP00000406490	ENSG00000064933	PMS1	ENSDARP00000001250	ENSDARG00000000476	pms1
ENSP00000406553	ENSG00000189320	FAM180A	ENSDARP00000135674	ENSDARG00000103102	FAM180A
ENSP00000406598	ENSG00000056050	HPF1	ENSDARP00000154136	ENSDARG00000112823	hpf1
ENSP00000406665	ENSG00000233198	RNF224	ENSDARP00000148225	ENSDARG00000115397	BX324226.2
ENSP00000406885	ENSG00000163900	TMEM41A	ENSDARP00000093207	ENSDARG00000070028	tmem41aa
ENSP00000406986	ENSG00000146360	GPR6	ENSDARP00000138317	ENSDARG00000052400	gpr6
ENSP00000407010	ENSG00000146410	MTFR2	ENSDARP00000079489	ENSDARG00000060394	mtfr2
ENSP00000407034	ENSG00000117450	PRDX1	ENSDARP00000116465	ENSDARG00000058734	prdx1
ENSP00000407130	ENSG00000119725	ZNF410	ENSDARP00000123606	ENSDARG00000008218	znf410
ENSP00000407193	ENSG00000141337	ARSG	ENSDARP00000137037	ENSDARG00000101715	arsg
ENSP00000407323	ENSG00000117395	EBNA1BP2	ENSDARP00000151663	ENSDARG00000054980	ebna1bp2
ENSP00000407331	ENSG00000213024	NUP62	ENSDARP00000113639	ENSDARG00000020527	nup62l
ENSP00000407375	ENSG00000233276	GPX1	ENSDARP00000020656	ENSDARG00000018146	gpx1a
ENSP00000407540	ENSG00000241468	ATP5MF	ENSDARP00000055185	ENSDARG00000037867	atp5mf
ENSP00000407560	ENSG00000160785	SLC25A44	ENSDARP00000052122	ENSDARG00000035905	slc25a44b
ENSP00000407602	ENSG00000047849	MAP4	ENSDARP00000137713	ENSDARG00000101687	CU929259.1
ENSP00000407613	ENSG00000206562	METTL6	ENSDARP00000093347	ENSDARG00000070085	mettl6
ENSP00000407767	ENSG00000156030	MIDEAS	ENSDARP00000128560	ENSDARG00000053864	elmsan1b
ENSP00000407860	ENSG00000119004	CYP20A1	ENSDARP00000003222	ENSDARG00000006040	cyp20a1
ENSP00000407978	ENSG00000235608	NKX1-1	ENSDARP00000131103	ENSDARG00000099427	nkx1.2lb
ENSP00000408002	ENSG00000028116	VRK2	ENSDARP00000038349	ENSDARG00000021547	vrk2
ENSP00000408058	ENSG00000203740	METTL11B	ENSDARP00000120895	ENSDARG00000042033	mettl11b
ENSP00000408205	ENSG00000147145	LPAR4	ENSDARP00000145769	ENSDARG00000089824	lpar4
ENSP00000408283	ENSG00000070087	PFN2	ENSDARP00000113417	ENSDARG00000012682	pfn2l
ENSP00000408292	ENSG00000119401	TRIM32	ENSDARP00000136136	ENSDARG00000102505	trim32
ENSP00000408295	ENSG00000111445	RFC5	ENSDARP00000051669	ENSDARG00000035634	rfc5
ENSP00000408331	ENSG00000168288	MMADHC	ENSDARP00000018012	ENSDARG00000005870	mmadhc
ENSP00000408526	ENSG00000133731	IMPA1	ENSDARP00000018348	ENSDARG00000003517	impa1
ENSP00000408527	ENSG00000239605	STPG4	ENSDARP00000109836	ENSDARG00000089552	si:ch211-93n23.7
ENSP00000408683	ENSG00000138398	PPIG	ENSDARP00000065255	ENSDARG00000044431	ppig
ENSP00000408697	ENSG00000189233	NUGGC	ENSDARP00000113705	ENSDARG00000071001	nuggc.1
ENSP00000408730	ENSG00000007080	CCDC124	ENSDARP00000063862	ENSDARG00000043502	ccdc124
ENSP00000408792	ENSG00000164651	SP8	ENSDARP00000073657	ENSDARG00000056666	sp8b
ENSP00000408910	ENSG00000175203	DCTN2	ENSDARP00000042594	ENSDARG00000031388	dctn2
ENSP00000408992	ENSG00000144647	POMGNT2	ENSDARP00000115932	ENSDARG00000010941	pomgnt2
ENSP00000409007	ENSG00000168621	GDNF	ENSDARP00000124666	ENSDARG00000039959	gdnfa
ENSP00000409016	ENSG00000154144	TBRG1	ENSDARP00000105690	ENSDARG00000074996	tbrg1
ENSP00000409231	ENSG00000113597	TRAPPC13	ENSDARP00000135625	ENSDARG00000033768	trappc13
ENSP00000409346	ENSG00000114737	CISH	ENSDARP00000079296	ENSDARG00000060316	cish
ENSP00000409423	ENSG00000189157	FAM47E	ENSDARP00000131396	ENSDARG00000101703	zgc:158260
ENSP00000409443	ENSG00000164620	RELL2	ENSDARP00000063558	ENSDARG00000071876	rell2
ENSP00000409463	ENSG00000139651	ZNF740	ENSDARP00000113405	ENSDARG00000061174	znf740b
ENSP00000409544	ENSG00000189143	CLDN4	ENSDARP00000013958	ENSDARG00000009544	cldnb
ENSP00000409555	ENSG00000051108	HERPUD1	ENSDARP00000144135	ENSDARG00000024314	herpud1
ENSP00000409594	ENSG00000155256	ZFYVE27	ENSDARP00000113701	ENSDARG00000059835	zfyve27
ENSP00000409964	ENSG00000164323	CFAP97	ENSDARP00000144897	ENSDARG00000112459	cfap97
ENSP00000409976	ENSG00000108381	ASPA	ENSDARP00000068606	ENSDARG00000005154	aspa
ENSP00000410007	ENSG00000177051	FBXO46	ENSDARP00000138208	ENSDARG00000099814	FBXO46
ENSP00000410083	ENSG00000028203	VEZT	ENSDARP00000119906	ENSDARG00000075215	vezt
ENSP00000410186	ENSG00000155085	AK9	ENSDARP00000118427	ENSDARG00000021913	ak9
ENSP00000410216	ENSG00000152359	POC5	ENSDARP00000121737	ENSDARG00000059982	poc5
ENSP00000410245	ENSG00000137266	SLC22A23	ENSDARP00000105551	ENSDARG00000078856	slc22a23
ENSP00000410267	ENSG00000135898	GPR55	ENSDARP00000116263	ENSDARG00000043447	gpr55a
ENSP00000410378	ENSG00000090615	GOLGA3	ENSDARP00000115821	ENSDARG00000062511	golga3
ENSP00000410396	ENSG00000184220	CMSS1	ENSDARP00000155717	ENSDARG00000004727	cmss1
ENSP00000410425	ENSG00000106554	CHCHD3	ENSDARP00000105322	ENSDARG00000032919	chchd3a
ENSP00000410452	ENSG00000117632	STMN1	ENSDARP00000041006	ENSDARG00000033655	stmn1b
ENSP00000410552	ENSG00000170085	SIMC1	ENSDARP00000140806	ENSDARG00000098209	si:ch211-199b20.3
ENSP00000410603	ENSG00000159784	FAM131B	ENSDARP00000094525	ENSDARG00000070575	fam131bb
ENSP00000410743	ENSG00000164849	GPR146	ENSDARP00000113473	ENSDARG00000059610	gpr146
ENSP00000410758	ENSG00000106355	LSM5	ENSDARP00000096681	ENSDARG00000071573	lsm5
ENSP00000410769	ENSG00000169714	CNBP	ENSDARP00000129692	ENSDARG00000070922	cnbpb
ENSP00000410818	ENSG00000124688	MAD2L1BP	ENSDARP00000131937	ENSDARG00000104943	mad2l1bp
ENSP00000410926	ENSG00000185621	LMLN	ENSDARP00000081663	ENSDARG00000061265	lmln
ENSP00000410944	ENSG00000164746	C7orf57	ENSDARP00000128722	ENSDARG00000090872	si:dkey-276j7.1
ENSP00000410992	ENSG00000115275	MOGS	ENSDARP00000117503	ENSDARG00000060252	mogs
ENSP00000411010	ENSG00000067334	DNTTIP2	ENSDARP00000117319	ENSDARG00000057648	dnttip2
